,name,min_value,restaurant,max_value,mean_value
54,Ham 'n Cheese Slider,210,arbys,210,210.0
55,Jalapeno Roast Beef 'n Cheese Slider,240,arbys,240,240.0
56,King's Hawaiian BBQ Chicken Slider,250,arbys,250,250.0
57,King's Hawaiian Ham Slider,200,arbys,200,200.0
58,King's Hawaiian Roast Beef Slider,210,arbys,210,210.0
59,Pizza Slider,300,arbys,300,300.0
60,Roast Beef 'n Cheese Slider,240,arbys,240,240.0
61,Turkey 'n Cheese Slider,200,arbys,200,200.0
62,Barq's Root Beer,180,arbys,450,315.0
63,Brewed Iced Tea,5,arbys,5,5.0
64,CapriSun Fruit Juice,80,arbys,80,80.0
65,Coca-Cola,160,arbys,400,280.0
66,Coca-Cola Zero Sugar,0,arbys,0,0.0
67,Coffee,0,arbys,0,0.0
68,Diet Coke,0,arbys,0,0.0
69,Dr Pepper,180,arbys,180,180.0
70,Dr Pepper,250,arbys,250,250.0
71,Hi-C Flashin' Fruit Punch,170,arbys,420,295.0
72,Mello Yello,170,arbys,440,305.0
73,Minute Maid Light Lemonade,5,arbys,20,12.5
74,Nestle Pure Life Bottled Water,0,arbys,0,0.0
75,Orange Juice,140,arbys,140,140.0
76,Powerade Mountain Berry Blast,90,arbys,240,165.0
77,Shamrock Farms Lowfat Chocolate Milk,150,arbys,150,150.0
78,Shamrock Farms Lowfat White Milk,90,arbys,90,90.0
79,Sprite,160,arbys,400,280.0
80,Bacon & Cheese Croissant,330,arbys,330,330.0
81,Bacon Biscuit,340,arbys,340,340.0
82,"Bacon, Egg & Cheese Biscuit",480,arbys,480,480.0
83,"Bacon, Egg & Cheese Croissant",440,arbys,440,440.0
84,"Bacon, Egg & Cheese Sourdough",490,arbys,490,490.0
85,"Bacon, Egg & Cheese Wrap",500,arbys,500,500.0
86,Chicken Biscuit,390,arbys,390,390.0
87,French Toast Sticks,350,arbys,350,350.0
88,Ham & Swiss Croissant,340,arbys,340,340.0
89,Ham Biscuit,340,arbys,340,340.0
90,"Ham, Egg & Cheese Biscuit",470,arbys,470,470.0
91,"Ham, Egg & Cheese Croissant",420,arbys,420,420.0
92,"Ham, Egg & Cheese Sourdough",470,arbys,470,470.0
93,"Ham, Egg & Cheese Wrap",440,arbys,440,440.0
94,Sausage & Cheese Croissant,490,arbys,490,490.0
95,Sausage Biscuit,500,arbys,500,500.0
96,Sausage Gravy Biscuit,480,arbys,970,725.0
97,"Sausage, Egg & Cheese Biscuit",640,arbys,640,640.0
98,"Sausage, Egg & Cheese Croissant",590,arbys,590,590.0
99,"Sausage, Egg & Cheese Sourdough",640,arbys,640,640.0
100,"Sausage, Egg & Cheese Wrap",630,arbys,630,630.0
101,Chopped Side Salad,70,arbys,70,70.0
102,Crispy Chicken Farmhouse Salad,430,arbys,430,430.0
103,Roast Turkey Farmhouse Salad,230,arbys,230,230.0
104,Arby's Sauce,15,arbys,15,15.0
105,Balsamic Vinaigrette Dressing,130,arbys,130,130.0
106,Bronco Berry Sauce,90,arbys,90,90.0
107,Buffalo Dipping Sauce,10,arbys,10,10.0
108,Buttermilk Ranch Dressing,210,arbys,210,210.0
109,Cheddar Cheese Sauce,50,arbys,50,50.0
110,Cheese Slice,50,arbys,50,50.0
111,Dijon Honey Mustard Dressing,180,arbys,180,180.0
112,Honey Mustard Dipping Sauce,140,arbys,140,140.0
113,Horsey Sauce,50,arbys,50,50.0
114,Ketchup,10,arbys,10,10.0
115,Light Italian Dressing,20,arbys,20,20.0
116,Marinara Sauce,35,arbys,35,35.0
117,Ranch Dipping Sauce,160,arbys,160,160.0
118,Spicy Three Pepper,25,arbys,25,25.0
119,Tangy Barbeque Sauce,45,arbys,45,45.0
120,Andes Mint Chocolate Shake,340,arbys,1130,735.0
121,Apple Turnover,430,arbys,430,430.0
122,Cherry Turnover,390,arbys,390,390.0
123,Chocolate Shake,320,arbys,820,570.0
124,Cinnamuffin,280,arbys,280,280.0
125,Jamocha Shake,310,arbys,820,565.0
126,S'mores Shake,660,arbys,1120,890.0
127,Salted Caramel & Chocolate Cookie,430,arbys,430,430.0
128,Triple Chocolate Cookie,450,arbys,450,450.0
129,Vanilla Shake,250,arbys,690,470.0
130,Curly Fries,250,arbys,650,450.0
131,GoGo SqueeZ Applesauce,60,arbys,60,60.0
132,Homestyle Fries,240,arbys,610,425.0
133,Jalapeno Bites,350,arbys,530,440.0
134,Loaded Curly Fries,700,arbys,700,700.0
135,Mozzarella Sticks,460,arbys,670,565.0
136,Potato Cakes,250,arbys,490,370.0
137,Steakhouse Onion Rings,420,arbys,420,420.0
138,White Cheddar Mac 'n Cheese,510,arbys,510,510.0
0,Baseball Nut Ice Cream,160,baskin-robbins,260,210.0
1,Candy Mashup Ice Cream,180,baskin-robbins,290,235.0
2,Caramel Turtle Truffle Ice Cream,120,baskin-robbins,120,120.0
3,Cherries Jubilee Ice Cream,140,baskin-robbins,230,185.0
4,Chocolate Almond Ice Cream,170,baskin-robbins,280,225.0
5,Chocolate Chip Cookie Dough Ice Cream,180,baskin-robbins,280,230.0
6,Chocolate Chip Ice Cream,150,baskin-robbins,250,200.0
7,Chocolate Ice Cream,150,baskin-robbins,240,195.0
8,Cotton Candy Ice Cream,150,baskin-robbins,230,190.0
9,Daiquiri Ice,70,baskin-robbins,100,85.0
10,Egg Nog Ice Cream,150,baskin-robbins,240,195.0
11,Fat-Free Vanilla Frozen Yogurt,80,baskin-robbins,130,105.0
12,German Chocolate Cake Ice Cream,190,baskin-robbins,300,245.0
13,Gold Medal Ribbon Ice Cream,150,baskin-robbins,240,195.0
14,Icing on the Cake Ice Cream,200,baskin-robbins,320,260.0
15,Jamoca Almond Fudge Ice Cream,160,baskin-robbins,260,210.0
16,Jamoca Ice Cream,140,baskin-robbins,220,180.0
17,Jolly Mint Ice Cream,160,baskin-robbins,250,205.0
18,Key Lime Pie Ice Cream,150,baskin-robbins,230,190.0
19,Lemon Custard Ice Cream,150,baskin-robbins,240,195.0
20,Love Potion #31 Ice Cream,150,baskin-robbins,240,195.0
21,Mango Frozen Yogurt,110,baskin-robbins,180,145.0
22,Mint Chocolate Chip Ice Cream,160,baskin-robbins,250,205.0
23,Nutty Coconut Ice Cream,180,baskin-robbins,290,235.0
24,Old Fashioned Butter Pecan Ice Cream,160,baskin-robbins,260,210.0
25,Orange Sherbet,80,baskin-robbins,130,105.0
26,OREO Cookies 'n Cream Ice Cream,160,baskin-robbins,260,210.0
27,Peanut Butter 'n Chocolate Ice Cream,190,baskin-robbins,300,245.0
28,Peppermint Ice Cream,170,baskin-robbins,270,220.0
29,Pineapple Coconut Ice Cream,100,baskin-robbins,100,100.0
30,Pistachio Almond Ice Cream,170,baskin-robbins,270,220.0
31,Pralines 'n Cream Ice Cream,170,baskin-robbins,270,220.0
32,Pumpkin Pie Ice Cream,140,baskin-robbins,220,180.0
33,Quarterback Crunch Ice Cream,180,baskin-robbins,280,230.0
34,Rainbow Sherbet,80,baskin-robbins,130,105.0
35,Reese's Peanut Butter Cup Ice Cream,180,baskin-robbins,280,230.0
36,Rocky Road Ice Cream,170,baskin-robbins,260,215.0
37,Rum Raisin Ice Cream,150,baskin-robbins,240,195.0
38,Snickers Bar Ice Cream,170,baskin-robbins,270,220.0
39,Strawberry Cheesecake Ice Cream,160,baskin-robbins,250,205.0
40,Vanilla Ice Cream,150,baskin-robbins,240,195.0
41,Very Berry Strawberry Ice Cream,130,baskin-robbins,210,170.0
42,Watermelon Splash Ice,70,baskin-robbins,110,90.0
43,Wild 'n Reckless Sherbet,80,baskin-robbins,130,105.0
44,World Class Chocolate Ice Cream,160,baskin-robbins,260,210.0
45,Barq's Root Beer Float,410,baskin-robbins,820,615.0
46,Cappuccino Blast,310,baskin-robbins,600,455.0
47,Caramel Cappuccino Blast,500,baskin-robbins,1040,770.0
48,Chocolate Chip Cookie Dough Milkshake,760,baskin-robbins,1520,1140.0
49,Chocolate Chip Milkshake,690,baskin-robbins,1370,1030.0
50,Coke Float,430,baskin-robbins,860,645.0
51,Coke Float w/ Soft Serve,280,baskin-robbins,570,425.0
52,Gold Medal Ribbon Milkshake,680,baskin-robbins,1370,1025.0
53,Ice Cream Soda (with Vanilla Ice Cream),510,baskin-robbins,1020,765.0
54,Mango Banana Smoothie,450,baskin-robbins,900,675.0
55,Mint Chocolate Chip Milkshake,690,baskin-robbins,1380,1035.0
56,Mocha Cappuccino Blast,390,baskin-robbins,760,575.0
57,Monster Energy Freeze,370,baskin-robbins,740,555.0
58,Oreo Cookies 'n Cream Cappuccino Blast,490,baskin-robbins,940,715.0
59,Oreo Cookies n' Cream Milkshake,720,baskin-robbins,1440,1080.0
60,Peanut Butter 'n Chocolate Milkshake,790,baskin-robbins,1590,1190.0
61,Sprite Freeze (with Orange Sherbet),380,baskin-robbins,760,570.0
62,Strawberry Banana Smoothie,350,baskin-robbins,710,530.0
63,Sundae Shake,780,baskin-robbins,780,780.0
64,Tropical Banana Smoothie,370,baskin-robbins,780,575.0
65,Turtle Cappuccino Blast,540,baskin-robbins,1010,775.0
66,Vanilla Milkshake,680,baskin-robbins,1370,1025.0
67,Very Berry Strawberry Milkshake,610,baskin-robbins,1210,910.0
68,World Class Chocolate Milkshake,710,baskin-robbins,1420,1065.0
69,Cake Cone,25,baskin-robbins,25,25.0
70,Sprinkle Cone,310,baskin-robbins,310,310.0
71,Sugar Cone,45,baskin-robbins,45,45.0
72,Waffle Cone,160,baskin-robbins,160,160.0
73,Brownie,240,baskin-robbins,240,240.0
74,Dark Chocolate Chunk Cookie,170,baskin-robbins,170,170.0
75,Double Fudge Cookie,160,baskin-robbins,160,160.0
76,Peanut Butter Chocolate Cookie,170,baskin-robbins,170,170.0
77,White Chunk Macadamia Cookie,180,baskin-robbins,180,180.0
78,Brownie a la Mode,260,baskin-robbins,260,260.0
79,Cake Bites – Chocolate Dipped Strawberry,290,baskin-robbins,290,290.0
80,Cake Bites – Love Potion #31®,300,baskin-robbins,300,300.0
81,Cake Bites - Chocolate Mint,330,baskin-robbins,330,330.0
82,Cake Bites - Double Chocolate,310,baskin-robbins,310,310.0
83,Cake Bites - Praline Caramel,360,baskin-robbins,360,360.0
84,Cake Bites - Vanilla Blondie,350,baskin-robbins,350,350.0
85,Chocolate Dipped Strawberry 1/8 cake,260,baskin-robbins,260,260.0
86,Chocolate Mint 1/8 cake,290,baskin-robbins,290,290.0
87,Double Chocolate Chip 1/16 cake,360,baskin-robbins,360,360.0
88,Double Chocolate OREO® 1/8 cake,300,baskin-robbins,300,300.0
89,Mini Cone - Chocolate Chip Ice Cream,60,baskin-robbins,60,60.0
90,Mini Cone - Gold Medal Ribbon Ice Cream,60,baskin-robbins,60,60.0
91,Mini Cone - Rainbow Sherbet,40,baskin-robbins,40,40.0
92,Mini Cone - Vanilla Ice Cream,60,baskin-robbins,60,60.0
93,Mini Cone - Very Berry Strawberry Ice Cream,50,baskin-robbins,50,50.0
94,OREO® Cookie 1/16 cake,330,baskin-robbins,330,330.0
95,Soft Serve Cookie Sandwich 1 Sandwich,190,baskin-robbins,190,190.0
96,Soft Serve Cookie Sandwich with Sprinkles,330,baskin-robbins,330,330.0
97,Strawberry 'n Cream Ice Cream Cake 1/8 cake,220,baskin-robbins,220,220.0
98,Banana Royale Sundae,690,baskin-robbins,690,690.0
99,Banana Split,960,baskin-robbins,960,960.0
100,Chocolate Chip Cookie Dough Sundae,1100,baskin-robbins,1100,1100.0
101,Fright Night Scoop,360,baskin-robbins,360,360.0
102,Oreo Layered Sundae,930,baskin-robbins,930,930.0
103,Reese's Peanut Butter Cup Sundae,1250,baskin-robbins,1250,1250.0
104,Snickers Sundae,1110,baskin-robbins,1110,1110.0
105,Two-Scoop Sundae,570,baskin-robbins,570,570.0
106,Vegan Chocolate Chip Cookie Dough Ice Cream,170,baskin-robbins,270,220.0
107,Vegan Chocolate Extreme Ice Cream,160,baskin-robbins,260,210.0
0,Blimpie Best,470,blimpie,920,695.0
1,Blimpie Burger,460,blimpie,460,460.0
2,Blimpie Dog,510,blimpie,510,510.0
3,BLT,510,blimpie,1020,765.0
4,Buffalo Chicken Panini,510,blimpie,510,510.0
5,Chicken Cheddar Bacon Ranch,590,blimpie,1180,885.0
6,Chicken Salad Sandwich,430,blimpie,860,645.0
7,Chicken Teriyaki,450,blimpie,900,675.0
8,"Ciabatta, Roast Beef, Turkey & Cheddar",520,blimpie,520,520.0
9,"Ciabatta, French Dip",430,blimpie,430,430.0
10,"Ciabatta, Mediterranean",450,blimpie,450,450.0
11,"Ciabatta, Sicilian",520,blimpie,520,520.0
12,"Ciabatta, Ultimate Club",580,blimpie,580,580.0
13,Club,410,blimpie,870,640.0
14,French Dip,430,blimpie,850,640.0
15,Ham & Swiss,410,blimpie,820,615.0
16,"Ham, Salami & Provolone",460,blimpie,930,695.0
17,Hoboken Hero,550,blimpie,1100,825.0
18,Hot Pastrami,430,blimpie,860,645.0
19,Meatball,560,blimpie,1120,840.0
20,Philly Steak & Onion,590,blimpie,1190,890.0
21,"Pretzel, Turkey Bacon",560,blimpie,560,560.0
22,Reuben,530,blimpie,1060,795.0
23,Roast Beef & Provolone,430,blimpie,860,645.0
24,The Blimp,820,blimpie,1610,1215.0
25,Tuna,460,blimpie,920,690.0
26,Turkey & Provolone,410,blimpie,820,615.0
27,Turkey and Avocado,360,blimpie,720,540.0
28,Turkey and Cranberry,350,blimpie,700,525.0
29,Veggie & Cheese,460,blimpie,920,690.0
30,"Veggie & Provolone Rg, no sauce",330,blimpie,330,330.0
31,VegiMax,520,blimpie,1040,780.0
32,"Wrap, Buffalo Chicken Pepperjack",680,blimpie,680,680.0
33,"Wrap, Chicken Caesar",590,blimpie,590,590.0
34,"Wrap, Southwestern",500,blimpie,500,500.0
35,Bagel,290,blimpie,290,290.0
36,"Bagel, Cream Cheese",390,blimpie,390,390.0
37,Biscuit with Sausage Gravy,460,blimpie,460,460.0
38,"Biscuit, Bacon Egg & Cheese",440,blimpie,440,440.0
39,"Biscuit, Egg & Cheese",380,blimpie,380,380.0
40,"Biscuit, Ham Egg & Cheese",420,blimpie,420,420.0
41,"Biscuit, Sausage Egg & Cheese",530,blimpie,530,530.0
42,"Bluffin, Bacon Egg & Cheese",320,blimpie,320,320.0
43,"Bluffin, Egg & Cheese",240,blimpie,240,240.0
44,"Bluffin, Ham Egg & Cheese",280,blimpie,280,280.0
45,"Bluffin, Plain",130,blimpie,130,130.0
46,"Bluffin, Sausage Egg & Cheese",390,blimpie,390,390.0
47,"Burrito, Bacon Egg & Cheese",660,blimpie,660,660.0
48,"Burrito, Egg & Cheese",510,blimpie,510,510.0
49,"Burrito, Ham Egg & Cheese",580,blimpie,580,580.0
50,"Burrito, Sausage Egg & Cheese",800,blimpie,800,800.0
51,"Grilled Breakfast Sandwich, Bacon",480,blimpie,480,480.0
52,"Grilled Breakfast Sandwich, Ham",480,blimpie,480,480.0
53,"Grilled Breakfast Sandwich, Sausage",710,blimpie,710,710.0
54,Blimpie Special Sauce,40,blimpie,40,40.0
55,Blue Cheese,230,blimpie,230,230.0
56,Buttermilk Ranch,150,blimpie,150,150.0
57,Creamy Caesar,210,blimpie,210,210.0
58,Creamy Italian,180,blimpie,180,180.0
59,Dijon Honey Mustard,180,blimpie,180,180.0
60,Fat-Free Italian,25,blimpie,25,25.0
61,Light Buttermilk Ranch,70,blimpie,70,70.0
62,Light Italian,20,blimpie,20,20.0
63,Mayonnaise,100,blimpie,100,100.0
64,"Mustard, Honey",20,blimpie,20,20.0
65,"Mustard, Spicy Brown",15,blimpie,15,15.0
66,"Mustard, Yellow Deli Style",15,blimpie,15,15.0
67,"Oil, Blend",60,blimpie,60,60.0
68,Peppercorn,120,blimpie,120,120.0
69,Red Wine Vinegar,5,blimpie,5,5.0
70,"Sauce, Red Hot Original",10,blimpie,10,10.0
71,Thousand Island,210,blimpie,210,210.0
72,"3"" Ham and Cheese",240,blimpie,240,240.0
73,"3"" Tuna",260,blimpie,260,260.0
74,"3"" Turkey and Cheese",210,blimpie,210,210.0
75,Antipasto Salad,250,blimpie,250,250.0
76,Buffalo Chicken Salad,220,blimpie,220,220.0
77,Chicken Caesar,190,blimpie,190,190.0
78,Garden,30,blimpie,30,30.0
79,Ultimate Club,270,blimpie,270,270.0
80,Baked BBQ Chips,130,blimpie,130,130.0
81,Brownie,230,blimpie,230,230.0
82,Cheddar Sour Cream Chips,240,blimpie,240,240.0
83,Cheetos Crunchy,160,blimpie,160,160.0
84,Chocolate Chunk Cookie,180,blimpie,180,180.0
85,"Cole Slaw Salad, side",160,blimpie,160,160.0
86,Doritos Cooler Ranch,240,blimpie,240,240.0
87,Doritos Nacho Cheese,240,blimpie,240,240.0
88,Fritos,320,blimpie,320,320.0
89,"Macaroni Salad, side",330,blimpie,330,330.0
90,Nachos,540,blimpie,540,540.0
91,Oatmeal Raisin Cookie,160,blimpie,160,160.0
92,Peanut Butter Cookie,200,blimpie,200,200.0
93,Popcorn,590,blimpie,1180,885.0
94,"Potato Salad, side",230,blimpie,230,230.0
95,Pretzels Classic Thin Style,220,blimpie,220,220.0
96,"Side, Cheese Sauce",80,blimpie,80,80.0
97,"Side, Chili",70,blimpie,70,70.0
98,Soft Pretzel,450,blimpie,510,480.0
99,Sugar Cookie,320,blimpie,320,320.0
100,SunChips Multigrain Harvest Cheddar,210,blimpie,210,210.0
101,SunChips Multigrain Original,210,blimpie,210,210.0
102,White Chocolate Macadamia Nut Cookie,190,blimpie,190,190.0
103,Chicken Noodle,130,blimpie,130,130.0
104,Chicken with White & Wild Rice,250,blimpie,250,250.0
105,Cream of Broccoli with Cheese,250,blimpie,250,250.0
106,Cream of Potato,190,blimpie,190,190.0
107,Grande Chili with Bean & Beef,250,blimpie,250,250.0
108,New England Clam Chowder,170,blimpie,170,170.0
109,Tomato Basil with Raviolini,110,blimpie,110,110.0
110,Vegetable Beef,80,blimpie,80,80.0
0,Meatloaf,470,boston-market,710,590.0
1,Rotisserie Brisket,430,boston-market,430,430.0
2,Rotisserie Chicken - 1 Thigh & 1 Drumstick,230,boston-market,230,230.0
3,Rotisserie Chicken - Quarter White,270,boston-market,270,270.0
4,"Rotisserie Chicken - Quarter White, No Skin",210,boston-market,210,210.0
5,Rotisserie Chicken - Three Piece Dark,300,boston-market,300,300.0
6,Rotisserie Chicken - Three Piece Dark (2 Thighs & Drumstick),390,boston-market,390,390.0
7,Rotisserie Chicken and BBQ Ribs,700,boston-market,700,700.0
8,Rotisserie Chicken Pot Pie,750,boston-market,750,750.0
9,Rotisserie Half Chicken,500,boston-market,500,500.0
10,Rotisserie Prime Rib,690,boston-market,690,690.0
11,Rotisserie Turkey Pot Pie,710,boston-market,710,710.0
12,St. Louis Style BBQ Ribs,430,boston-market,860,645.0
13,Turkey Breast,160,boston-market,230,195.0
14,Apple Pie - Slice,430,boston-market,430,430.0
15,Carrot Cake,730,boston-market,730,730.0
16,Chocolate Brownie - Single,470,boston-market,470,470.0
17,Chocolate Cake - Slice,580,boston-market,580,580.0
18,Chocolate Chunk Cookie,370,boston-market,370,370.0
19,Pecan Pie - Slice,640,boston-market,640,640.0
20,Pumpkin Pie - Slice,430,boston-market,430,430.0
21,Caesar Side Salad,90,boston-market,340,215.0
22,Chocolate Chunk Cookie,370,boston-market,370,370.0
23,Cinnamon Apple Cobbler,540,boston-market,540,540.0
24,Cornbread,160,boston-market,160,160.0
25,Creamed Spinach,260,boston-market,260,260.0
26,Fresh Steamed Vegetables,80,boston-market,80,80.0
27,Garlic Dill New Potatoes,100,boston-market,100,100.0
28,Green Beans,90,boston-market,90,90.0
29,Macaroni and Cheese,280,boston-market,280,280.0
30,Mashed Potatoes,240,boston-market,240,240.0
31,Squash Casserole,260,boston-market,260,260.0
32,Sweet Corn,120,boston-market,120,120.0
33,Sweet Potato Casserole,480,boston-market,480,480.0
34,Boneless Holiday Ham,280,boston-market,360,320.0
35,Boneless Holiday Turkey Breast,180,boston-market,180,180.0
36,Holiday Turkey,200,boston-market,280,240.0
37,Spiral Sliced Ham,260,boston-market,260,260.0
38,"Chicken Noodle Soup, Kid's Side",50,boston-market,50,50.0
39,"Corn, Kid's Side",60,boston-market,60,60.0
40,"Creamed Spinach, Kid's Side",140,boston-market,140,140.0
41,Dark Chicken (Kids) - 1 Thigh & 1 Drumstick,310,boston-market,310,310.0
42,"Garlic Dill New Potatoes, Kid's Side",60,boston-market,60,60.0
43,"Green Beans, Kid's Side",45,boston-market,45,45.0
44,Kids White Chicken,310,boston-market,310,310.0
45,"Macaroni and Cheese, Kid's Side",170,boston-market,170,170.0
46,"Mashed Potatoes, Kid's Side",140,boston-market,140,140.0
47,Meatloaf,240,boston-market,240,240.0
48,"Steamed Vegetables, Kid's Side",40,boston-market,40,40.0
49,"Sweet Potato Casserole, Kid's Side",250,boston-market,250,250.0
50,Turkey,90,boston-market,90,90.0
51,Caesar Salad,340,boston-market,670,505.0
52,Chicken Noodle Soup,230,boston-market,230,230.0
53,Chicken Tortilla Soup,270,boston-market,430,350.0
54,Mediterranean Salad,320,boston-market,650,485.0
55,Southwest Santa Fe Salad,380,boston-market,760,570.0
56,Chicken Avocado Club,560,boston-market,1110,835.0
57,Chicken Salad Carver Sandwich,430,boston-market,870,650.0
58,Roasted Turkey Carver Sandwich,480,boston-market,970,725.0
59,Rotisserie Chicken Carver Sandwich,490,boston-market,980,735.0
60,Southwest Chicken Carver Sandwich,560,boston-market,1110,835.0
61,Vegetarian Sandwich,950,boston-market,950,950.0
62,Beef Gravy,10,boston-market,10,10.0
63,Poultry Gravy,10,boston-market,10,10.0
64,Zesty Barbecue (mild),40,boston-market,40,40.0
0,All-Star Sampler,2170,buffalo-wild-wings,2450,2310.0
1,Beer-Battered Onion Rings,1740,buffalo-wild-wings,1740,1740.0
2,Big Twist Pretzel,1150,buffalo-wild-wings,1150,1150.0
3,Buffalo Chips,580,buffalo-wild-wings,580,580.0
4,Cheddar Cheese Curds,1680,buffalo-wild-wings,1680,1680.0
5,Chicken Quesadilla,1050,buffalo-wild-wings,1050,1050.0
6,Chili Queso Dip with Tortilla Chips,1220,buffalo-wild-wings,1220,1220.0
7,Chips & Salsa,850,buffalo-wild-wings,850,850.0
8,Crispy Jumbo Shrimp,500,buffalo-wild-wings,500,500.0
9,French Fries,660,buffalo-wild-wings,660,660.0
10,Fried Pickles,900,buffalo-wild-wings,900,900.0
11,House Sampler,2480,buffalo-wild-wings,2480,2480.0
12,Mini Corn Dogs,780,buffalo-wild-wings,780,780.0
13,Mozzarella Sticks,650,buffalo-wild-wings,650,650.0
14,Potato Wedges,750,buffalo-wild-wings,750,750.0
15,Roasted Garlic Mushrooms,690,buffalo-wild-wings,690,690.0
16,Spinach Artichoke Dip,1150,buffalo-wild-wings,1150,1150.0
17,Street Tacos,560,buffalo-wild-wings,560,560.0
18,Ultimate Nachos,1290,buffalo-wild-wings,1290,1290.0
19,Asian Zing Boneless Wings,780,buffalo-wild-wings,2320,1550.0
20,Blazin' Boneless Wings,760,buffalo-wild-wings,2240,1500.0
21,Bourbon Honey Mustard Boneless Wings,770,buffalo-wild-wings,2290,1530.0
22,Buffalo Boneless Wings,665,buffalo-wild-wings,2000,1332.5
23,Caribbean Jerk Boneless Wings,760,buffalo-wild-wings,2250,1505.0
24,Chipotle BBQ Boneless Wings,685,buffalo-wild-wings,2000,1342.5
25,Desert Heat Boneless Wings,665,buffalo-wild-wings,2000,1332.5
26,Honey BBQ Boneless Wings,760,buffalo-wild-wings,2270,1515.0
27,Hot BBQ Boneless Wings,710,buffalo-wild-wings,2130,1420.0
28,Hot Boneless Wings,730,buffalo-wild-wings,2180,1455.0
29,Lemon Pepper Boneless Wings,665,buffalo-wild-wings,2000,1332.5
30,Mango Habanero Boneless Wings,780,buffalo-wild-wings,2310,1545.0
31,Medium Boneless Wings,710,buffalo-wild-wings,2130,1420.0
32,Mild Boneless Wings,740,buffalo-wild-wings,2200,1470.0
33,Parmesan Garlic Boneless Wings,850,buffalo-wild-wings,2490,1670.0
34,Salt & Vinegar Boneless Wings,665,buffalo-wild-wings,1995,1330.0
35,Spicy Garlic Boneless Wings,730,buffalo-wild-wings,2180,1455.0
36,Sweet BBQ Boneless Wings,730,buffalo-wild-wings,2170,1450.0
37,Teriyaki Boneless Wings,750,buffalo-wild-wings,2240,1495.0
38,Thai Curry Boneless Wings,870,buffalo-wild-wings,2560,1715.0
39,Wild Boneless Wings,730,buffalo-wild-wings,2190,1460.0
40,Bayou Po’ Boy,1000,buffalo-wild-wings,1030,1015.0
